name,iso,comtrade_query,keyword
Sweden,SWE,752,sweden
Canada,CAN,124,canada
United States of America,USA,"840,842,841",united states
China,CHN,156,china
India,IND,"699,356",india
Germany,DEU,"280,276",germany
France,FRA,"251,250",france
United Kingdom of Great Britain and Northern Ireland,GBR,826,britain
TÃ¼rkiye,TUR,792,turkiye
Saudi Arabia,SAU,682,arabia
Norway,NOR,"579,578",norway
"Netherlands, Kingdom of the",NLD,528,netherlands
Russian Federation,RUS,643,russia
Mexico,MEX,484,mexico
Argentina,ARG,32,argentina
Australia,AUS,36,australia
Thailand,THA,764,thailand
